subjCode,workerId,assignmentId,hitId,category,expTimer,response,trial_number,rt
testingasdasd,workerId,assignmentId,hitId,beanbagchair,7.284,beanbag chairs,1,3751
testingasdasd,workerId,assignmentId,hitId,babushkadolls,9.322,dolls,2,2030
testingasdasd,workerId,assignmentId,hitId,bearteddy,11.515,teddy bears,3,2188
testingasdasd,workerId,assignmentId,hitId,balloon,13.463,balloons,4,1941
testingasdasd,workerId,assignmentId,hitId,bagel,15.05,bagels,5,1578
testingasdasd,workerId,assignmentId,hitId,bell,16.624,bells,6,1568
testingasdasd,workerId,assignmentId,hitId,armyguy,18.574,soldiers,7,1943
testingasdasd,workerId,assignmentId,hitId,airplane,20.371,airplanes,8,1791
testingasdasd,workerId,assignmentId,hitId,beermug,21.822,beers,9,1445
testingasdasd,workerId,assignmentId,hitId,abacus,23.988,abacuses,10,2160
testingasdasd,workerId,assignmentId,hitId,babycarriage,27.257,strollers,11,3262
testingasdasd,workerId,assignmentId,hitId,barbiedoll,29.514,barbies,12,2249
testingasdasd,workerId,assignmentId,hitId,apple,31.321,apples,13,1800
testingasdasd,workerId,assignmentId,hitId,axe,34.073,axes,14,2746
testingasdasd,workerId,assignmentId,hitId,basket,36.165,baskets,15,2086
testingasdasd,workerId,assignmentId,hitId,baseballcards,39.717,baseball cards,16,3546
testingasdasd,workerId,assignmentId,hitId,backpack,44.429,backpacks,17,4705
testingasdasd,workerId,assignmentId,hitId,bathsuit,47.358,swimming suits,18,2920
testingasdasd,workerId,assignmentId,hitId,bed,49.442,beds,19,2077
testingasdasd,workerId,assignmentId,hitId,ball,51.116,balls,20,1669
testingasdasd,workerId,assignmentId,hitId,armyguy,6.085,,1,1388
testingasdasd,workerId,assignmentId,hitId,apple,6.918,,2,827
