subjCode,workerId,assignmentId,hitId,category,expTimer,response,trial_number,rt
thompson343,workerId,assignmentId,hitId,airplane,5.414,planes,1,2664
thompson343,workerId,assignmentId,hitId,armyguy,9.487,soldiers,2,4062
thompson343,workerId,assignmentId,hitId,balloon,11.702,balloons,3,2208
thompson343,workerId,assignmentId,hitId,bagel,14.1,bagels,4,2388
thompson343,workerId,assignmentId,hitId,bed,15.884,beds,5,1775
thompson343,workerId,assignmentId,hitId,beanbagchair,19.787,beanbag chairs,6,3894
thompson343,workerId,assignmentId,hitId,apple,21.465,apples,7,1670
thompson343,workerId,assignmentId,hitId,babushkadolls,26.203,matryoshka dolls,8,4731
thompson343,workerId,assignmentId,hitId,beermug,31.986,beer glasses,9,5775
thompson343,workerId,assignmentId,hitId,abacus,36.691,abacuses,10,4699
thompson343,workerId,assignmentId,hitId,bell,38.451,bells,11,1754
thompson343,workerId,assignmentId,hitId,babycarriage,42.459,strollers,12,4002
thompson343,workerId,assignmentId,hitId,barbiedoll,44.824,dolls,13,2358
thompson343,workerId,assignmentId,hitId,baseballcards,47.693,baseball cards,14,2862
thompson343,workerId,assignmentId,hitId,basket,49.994,baskets,15,2295
thompson343,workerId,assignmentId,hitId,bathsuit,53.383,swimming suits,16,3382
thompson343,workerId,assignmentId,hitId,bearteddy,56.39,teddy bears,17,3001
thompson343,workerId,assignmentId,hitId,axe,58.144,axes,18,1747
thompson343,workerId,assignmentId,hitId,backpack,60.618,backpacks,19,2467
thompson343,workerId,assignmentId,hitId,ball,62.185,balls,20,1558
