subjCode,workerId,assignmentId,hitId,category,expTimer,response,trial_number,rt
thompson,workerId,assignmentId,hitId,ceilingfan,4.805,,1,3265
thompson,workerId,assignmentId,hitId,bonzai,5.936,,2,1091
thompson,workerId,assignmentId,hitId,bongo,7,,3,1055
thompson,workerId,assignmentId,hitId,basket,7.869,,4,862
thompson,workerId,assignmentId,hitId,cherubstatue,8.629,,5,754
thompson,workerId,assignmentId,hitId,bed,9.324,,6,684
thompson,workerId,assignmentId,hitId,babushkadolls,10.004,,7,670
thompson,workerId,assignmentId,hitId,bench,11.303,,8,1293
thompson,workerId,assignmentId,hitId,bottle,11.869,,9,560
thompson,workerId,assignmentId,hitId,carfront,12.282,,10,407
thompson,workerId,assignmentId,hitId,cake,12.502,,11,199
thompson,workerId,assignmentId,hitId,cheese,12.692,,12,183
thompson,workerId,assignmentId,hitId,bowtie,14.092,,13,1387
thompson,workerId,assignmentId,hitId,candleholderwithcandle,14.431,,14,328
thompson,workerId,assignmentId,hitId,abacus,7.807,abacus,1,4528
thompson,workerId,assignmentId,hitId,baseballcards,11.738,baseball cards,2,3912
thompson,workerId,assignmentId,hitId,button,14.157,buttons,3,2401
thompson,workerId,assignmentId,hitId,calculator,16.928,calculators,4,2738
thompson,workerId,assignmentId,hitId,bird,21.504,birds,5,4534
thompson,workerId,assignmentId,hitId,cherubstatue,10.818,test1,1,2985
thompson,workerId,assignmentId,hitId,bathsuit,15.367,swimming suits,2,4538
thompson,workerId,assignmentId,hitId,cellphone,20.318,phones,3,4942
thompson,workerId,assignmentId,hitId,recordplayer,6.589,,1,4762
thompson,workerId,assignmentId,hitId,mushroom,7.849,,2,1237
